index,user_id
0,84712
1,2893260
2,4010813
3,7610489
4,3596952
5,14280452
6,1238413
7,3398990
8,84729
9,84730
10,84732
11,23506
12,108167
13,437085
14,465006
15,514917
16,557336
17,558162
18,560417
19,560654
20,84734
21,474
22,2971
23,47517
24,51363
25,80060
26,128853
27,287063
28,627915
29,739696
30,1008817
31,3087023
32,84737
33,84740
34,690
35,6027
36,10111
37,12104
38,18634
39,30733
40,72989
41,79116
42,238331
43,288271
44,293886
45,377232
46,646254
47,949716
48,1174500
49,1271259
50,1509852
51,1658507
52,4209276
53,12840825
54,41248242
55,84743
56,2
57,161
58,372
59,572
60,2567
61,2723
62,3124
63,3962
64,6525
65,16794
66,17538
67,20930
68,20931
69,34346
70,64433
71,65323
72,116883
73,127288
74,130838
75,257689
76,271880
77,544302
78,706128
79,720055
80,831776
81,949308
82,1168682
83,1390709
84,2252978
85,2685729
86,2755104
87,3196668
88,3774274
89,7865650
90,25505984
91,33140493
92,40149173
93,70681270
94,84750
95,1896
96,40453
97,61586
98,62615
99,65041
100,107142
101,5723303
102,84757
103,216
104,17822
105,40725
106,65675
107,83466
108,1359421
109,12900252
110,84759
111,185212
112,187848
113,264346
114,445338
115,1361891
116,4592398
117,5785188
118,6270979
119,6317217
120,12934991
121,12994887
122,16519323
123,21693163
124,32443558
125,84814103
126,84762
127,84763
128,459
129,7288
130,8495
131,9715
132,12631
133,15000
134,18679
135,21236
136,25254
137,34054
138,36214
139,38546
140,58393
141,76838
142,97291
143,97331
144,110953
145,111951
146,117943
147,126477
148,190574
149,204106
150,208049
151,229244
152,262641
153,288795
154,302992
155,341662
156,398379
157,420179
158,479538
159,479546
160,495647
161,563460
162,682840
163,1058839
164,1133852
165,1148383
166,84765
167,44168
168,56883
169,3264457
170,3299948
171,3420964
172,4173288
173,5047293
174,5519020
175,5690396
176,7020807
177,10880840
178,11521721
179,20043350
180,22739836
181,40909186
182,62486588
183,84772
184,1211943
185,84778
186,39133
187,69422
188,69423
189,1043528
190,21242485
191,84780
192,84792
193,1562176
194,376661
195,8740476
196,107115
197,554847
198,3232081
199,5810234
200,13041
201,1220601
202,938655
203,34673
204,643505
205,82634
206,65407
207,60294
208,457532
209,26499
210,801236
211,1357237
212,884495
213,89353
214,1395733
215,41087
216,866815
217,152863
218,187989
219,26842
220,767372
221,50081
222,268253
223,1216791
224,829767
225,639093
226,618662
227,595589
228,594777
229,395206
230,149010
231,62224
232,51821
233,21952
234,84797
235,48071
236,84800
237,378
238,2716
239,4732
240,5373
241,5924
242,6515
243,12127
244,12854
245,13277
246,20592
247,25765
248,28410
249,29944
250,33697
251,38344
252,41495
253,47046
254,56260
255,64153
256,112670
257,125426
258,126339
259,134455
260,147919
261,148059
262,150330
263,159967
264,160447
265,178003
266,218344
267,225574
268,246021
269,249595
270,307976
271,316318
272,325326
273,392144
274,408412
275,460966
276,495908
277,511761
278,512439
279,560646
280,582403
281,587518
282,619764
283,632049
284,636610
285,772727
286,784160
287,784273
288,866144
289,900380
290,934140
291,964649
292,1149737
293,1235230
294,1288823
295,1419401
296,1449837
297,1653275
298,1658742
299,1857993
300,1885159
301,2046589
302,2281088
303,2938310
304,4178542
305,4451817
306,5991987
307,7290412
308,8030961
309,8862021
310,9376482
311,11997567
312,24217243
