['', 'Yizeng Li', 'Update documentation']
['07aayush', 'AAYULAPPY\\aayus', 'a']
['0xAAE', 'cdmitry77', "Merge branch 'dapsnet' of https://gitlab.com/credits_bc/core/node into dapsnet"]
['0xAAE', 'Alexander Avramenko', "Merge branch 'dapsnet' of https://gitlab.com/credits_bc/core/node into dapsnet"]
['cdmitry77', 'Alexander Avramenko', "Merge branch 'dapsnet' of https://gitlab.com/credits_bc/core/node into dapsnet"]
['0xBahamoot', '0xkumi', 'update']
['0xBahamoot', '0xmerman', 'update']
['0xkumi', '0xBahamoot', 'update']
['0xkumi', '0xmerman', 'update']
['0xBahamoot', '0xmerman', 'update']
['0xkraken', 'minhduccm', "Merge branch 'new-estimate-fee' of https://github.com/incognitochain/incognito-chain into new-estimate-fee"]
['0xkraken', 'minhduccm', "Merge branch 'new-estimate-fee' of https://github.com/incognitochain/incognito-chain into new-estimate-fee"]
['minhduccm', '0xkraken', "Merge branch 'new-estimate-fee' of https://github.com/incognitochain/incognito-chain into new-estimate-fee"]
['0xkraken', 'hieuqautonomous', "Merge branch 'master' of https://github.com/constant-money/constant-chain-wallet-client-2"]
['jhon-leal25@hotmail.com', 'jvdsleal@restinga.ifrs.edu.br', 'validaçoes anexos das requisiçoes']
['12jeong', 'chulhongsung', 'Update test2.R']
['171250586', '171250017', "Merge branch 'master' of https://github.com/jw-weather/wcApp"]
['owen', '17875', '1']
['owen', '17875', '1']
['owen', '17875', '1']
['owen', '17875', '1']
['17875', 'owen', '1']
['17875', 'owen', '1']
['17875', 'owen', '1']
['17875', 'owen', '1']
['17875', 'owen', '1']
['17875', 'owen', '1']
['182844', 'nico', "Merge branch 'master' of https://github.com/NP084/KarateClub"]
['Almaz Kurmankulov', 'Daniil-sh', "Merge branch 'master' into design"]
['witoldmerkel', 'Hubert', 'PD4']
['2ndyrGroupA', 'PATamparong', 'Comment']
['2ndyrGroupA', 'PATamparong', 'Comment']
['3uxeca', 'Taehwan Kim', "Merge branch 'master' of https://github.com/sonwonho/BitProject"]
['sangmin99554', '3uxeca', '09/19']
['sangmin99554', '3uxeca', '09/19']
['sangmin99554', 'Taehwan Kim', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'Taehwan Kim', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'sangmin99554', '09/19']
['3uxeca', 'Taehwan Kim', '09/19']
['sangmin99554', 'Taehwan Kim', '09/19']
['sangmin99554', 'Taehwan Kim', '09/19']
['sangmin99554', 'Taehwan Kim', '09/19']
['sangmin99554', 'Taehwan Kim', '09/19']
['sangmin99554', 'Taehwan Kim', '09/19']
['40623220', '40623237', 'Merge pull request #2 from scrum-1/master\n\npull request']
['42', 'Mikusch', 'Fix TFGO_OnBombDefused error log']
['uratomo', 'k1taka', "Merge branch 'master' of https://github.com/k1taka/freemarket_sample_54c"]
['5piffe', 'Flieven', 'Nonsense commit.']
['741PC-28\\student', 'naribasuto', "Merge branch 'master_3' into 山嵜_ブランチ_2"]
['741PC-17\\student', '741PC-29\\student', "Merge branch 'master' into 川村_ブランチ2"]
['741PC-17\\student', 'kawamura727', "Merge branch 'master' into 川村_ブランチ2"]
['741PC-29\\student', 'kawamura727', "Merge branch 'master' into 川村_ブランチ2"]
['82108', 'user', "Merge remote-tracking branch 'origin/master'"]
['82108', 'user', "Merge remote-tracking branch 'origin/master'"]
['82108', 'user', "Merge remote-tracking branch 'origin/master'"]
['82108', 'user', "Merge remote-tracking branch 'origin/master'"]
['996icu', 'Katt Gu', 'Update README.md']
['996icu', 'Katt Gu', 'Update README.md']
['996icu', 'Katt Gu', 'Update README.md']
['996icu', 'Katt Gu', 'Update README.md']
['=', 'w8', "Merge branch 'source' of github.com:GWait/homework into source"]
['=', 'w8', "Merge branch 'source' of github.com:GWait/homework into source"]
